Timestamp,cohort_ID,species_ID,study_ID,life_stage,sampling_year,sampling_month,breeding_stage,laying_order,laying_order_comment,sampling_location,nest,cohort_comment,developmental_stage,nest_comment,breeding_stage_comment,developmental_stage_comment,body_weight_mean,body_weight_sd,body_weight_comment,egg_weight_mean,egg_weight_sd,egg_weight_comment,data_pooled,data_pooled_comment
18/10/2022 16:41:37,ch_054,se_011,S_013,adult,2010,NA,breeding season,NA,NA,"King George Island, Antarctic Peninsula",No,Sampling activities performed during austral summers (November - February). So we assumed sampling activity was performed in December.,NA,Adults and eggs are from the same colonies but not from the same nests.,"""All samplings were performed at [...] austral summers and in the reproductive period of the birds.""",NA,1195,147.2,(g). Data provided in Table S1,NA,NA,NA,Yes,Male and female data pooled together
18/10/2022 17:48:55,ch_055,se_011,S_013,egg,2010,NA,NA,NA,"Not provided. ""Non-viable eggs of penguins (P. papua, P. adeliae, and P. antarcticus), S. maccormicki, and S. vittata were collected in breeding territories, found abandoned outside the nests""","King George Island, Antarctic Peninsula",No,Sampling activities performed during austral summers (November - February). So we assumed sampling activity was performed in December.,NA,Adults and eggs are from the same colonies but not from the same nests.,NA,NA,NA,NA,NA,93,NA,"(81-105 g). Extracted from the external source: Peter, H.U., Kaiser, M., and Gebauer, A. (1990). Ecological and morphological investigations on South Polar Skua (Catharacta maccormicki) and Brown Skuas (Catharacta skua lonnbergi) on Fildes Peninsula, King George Island, South Shetland Islands. Zool. Jb. Syst. 117:201-218.",No,NA
19/10/2022 09:37:25,ch_056,se_013,S_013,adult,2010,December,breeding season,NA,NA,"King George Island, Antarctic Peninsula",No,Sampling activities performed during austral summers (November - February). So we assumed sampling activity was performed in December.,NA,Adults and eggs are from the same colonies but not from the same nests.,"""All samplings were performed at [...] austral summers and in the reproductive period of the birds.""",NA,165,NA,"(150-180 g). Extracted from external source: Gochfeld, M., J. Burger, and E. F. J. Garcia (2020). Antarctic Tern (Sterna vittata), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.antter1.01",NA,NA,NA,Yes,Male and female data pooled together
19/10/2022 09:39:32,ch_057,se_013,S_013,egg,2010,December,NA,NA,"Not provided. ""Non-viable eggs of penguins (P. papua, P. adeliae, and P. antarcticus), S. maccormicki, and S. vittata were collected in breeding territories, found abandoned outside the nests""","King George Island, Antarctic Peninsula",No,Sampling activities performed during austral summers (November - February). So we assumed sampling activity was performed in December.,NA,Adults and eggs are from the same colonies but not from the same nests.,NA,NA,NA,NA,NA,24.6,1.2,"(g). Extracted from the external source: Sagar, P. M., Miskelly, C. M., Sagar, J. L., & Tennyson, A. J. (2003). Population size, breeding, and annual cycle of the New Zealand Antarctic tern (Sterna vittata bethunei) at the Snares Islands. Notornis, 50(1), 36-42.",No,NA
19/10/2022 09:41:39,ch_058,se_014,S_013,adult,2010,December,breeding season,NA,NA,"King George Island, Antarctic Peninsula",No,Sampling activities performed during austral summers (November - February). So we assumed sampling activity was performed in December.,NA,Adults and eggs are from the same colonies but not from the same nests.,"""All samplings were performed at [...] austral summers and in the reproductive period of the birds.""",NA,4135,475.8,(g). Data provided in Table S1,NA,NA,NA,Yes,Male and female data pooled together
19/10/2022 09:43:18,ch_059,se_014,S_013,egg,2012,December,NA,NA,"Not provided. ""Non-viable eggs of penguins (P. papua, P. adeliae, and P. antarcticus), S. maccormicki, and S. vittata were collected in breeding territories, found abandoned outside the nests""","King George Island, Antarctic Peninsula",No,Sampling activities performed during austral summers (November - February). So we assumed sampling activity was performed in December.,NA,Adults and eggs are from the same colonies but not from the same nests.,NA,NA,NA,NA,NA,112.5,NA,(100 - 125 g). Extracted from the external source: http://www.penguins.cl/adelie-penguins.htm,No,NA
19/10/2022 09:47:50,ch_060,se_015,S_013,adult,2010,December,breeding season,NA,NA,"King George Island, Antarctic Peninsula",No,Sampling activities performed during austral summers (November - February). So we assumed sampling activity was performed in December.,NA,Adults and eggs are from the same colonies but not from the same nests.,"""All samplings were performed at [...] austral summers and in the reproductive period of the birds.""",NA,4045,619.8,(g). Data provided in Table S1,NA,NA,NA,Yes,Male and female data pooled together
19/10/2022 09:49:27,ch_061,se_015,S_013,egg,2012,December,NA,NA,"Not provided. ""Non-viable eggs of penguins (P. papua, P. adeliae, and P. antarcticus), S. maccormicki, and S. vittata were collected in breeding territories, found abandoned outside the nests""","King George Island, Antarctic Peninsula",No,Sampling activities performed during austral summers (November - February). So we assumed sampling activity was performed in December.,NA,Adults and eggs are from the same colonies but not from the same nests.,NA,NA,NA,NA,NA,120,NA,(g). Extracted from the external source: https://www.wwf.org.uk/updates/penguin-egg-straordinary-bird-melting-world,No,NA
19/10/2022 09:52:59,ch_062,se_016,S_013,adult,2010,December,breeding season,NA,NA,"King George Island, Antarctic Peninsula",No,Sampling activities performed during austral summers (November - February). So we assumed sampling activity was performed in December.,NA,Adults and eggs are from the same colonies but not from the same nests.,"""All samplings were performed at [...] austral summers and in the reproductive period of the birds.""",NA,5305,357.2,(g). Data provided in Table S1,NA,NA,NA,Yes,Male and female data pooled together
19/10/2022 09:54:14,ch_063,se_016,S_013,egg,2012,December,NA,NA,"Not provided. ""Non-viable eggs of penguins (P. papua, P. adeliae, and P. antarcticus), S. maccormicki, and S. vittata were collected in breeding territories, found abandoned outside the nests""","King George Island, Antarctic Peninsula",No,NA,NA,Adults and eggs are from the same colonies but not from the same nests.,NA,NA,NA,NA,NA,127.5,NA,"(g). Extracted from the external source: WILLIAMS, T.D. (1990), Annual variation in breeding biology of gentoo penguins, Pygoscelis papua, at Bird Island, South Georgia. Journal of Zoology, 222: 247-258. https://doi.org/10.1111/j.1469-7998.1990.tb05675.x",No,NA
